uid,date,symbol,category,trade_type,stock_value,volume
10,13-07-2011,OBEROIRLTY,Realty,bought,235.1,70
10,26-08-2011,APOLLOTYRE,Auto,bought,55.3,100
10,05-10-2011,MARUTI,Auto,bought,1117,91
10,07-12-2011,APOLLOTYRE,Auto,sold,60.2,78
10,19-12-2011,WIPRO,IT,bought,399.05,80
10,27-12-2011,SUNPHARMA,Pharma,bought,504.45,65
10,16-01-2012,BOSCHLTD,Auto,bought,7106,95
10,07-02-2012,TATAELXSI,IT,bought,223.5,41
10,27-12-2012,HINDUNILVR,FMCG,bought,525,53
10,19-02-2013,TCS,IT,bought,1421.6,63
10,20-06-2013,CIPLA,Pharma,bought,376.8,63
10,24-12-2013,EXIDEIND,Auto,bought,118.45,90
10,30-04-2014,WIPRO,IT,bought,529,84
10,08-07-2014,KOTAKBANK,Financial services,bought,882,59
10,16-01-2015,DRREDDY,Pharma,bought,3242,85
10,18-02-2015,AXISBANK,Financial services,bought,572,79
10,24-03-2015,AXISBANK,Financial services,sold,553.95,68
10,15-05-2015,PHOENIXLTD,Realty,bought,357.9,53
10,05-01-2016,M&M,Auto,bought,1246,29
10,12-01-2016,GLENMARK,Pharma,bought,845.7,75
