uid,date,symbol,category,trade_type,stock_value,volume
2,04-May-11,DABUR,FMCG,bought,99.85,100
2,08-May-11,DRREDDY,Pharma,bought,1623,100
2,29-Jun-11,KOTAKBANK,Financial services,bought,463.05,66
2,13-May-12,PHOENIXLTD,Realty,bought,194,49
2,13-Dec-12,DLF,Realty,bought,214,87
2,26-May-13,TCS,IT,bought,1485,89
2,04-Oct-13,DLF,Realty,sold,137.3,68
2,22-Mar-14,DLF,Realty,sold,170.25,63
2,24-Mar-14,ICICIBANK,Financial services,bought,1238,73
2,08-May-14,OBEROIRLTY,Realty,bought,198.66,72
2,30-Sep-14,TECHM,IT,bought,2467.7,81
2,12-Oct-14,PHOENIXLTD,Realty,bought,373,59
2,12-Jan-15,ICICIBANK,Financial services,sold,360,62
2,27-Feb-15,KOTAKBANK,Financial services,bought,1340,65
2,11-Jun-15,HINDUNILVR,FMCG,bought,820,70
2,23-Jun-15,SUNPHARMA,Pharma,bought,865.2,59
2,25-Jul-15,ASHOKLEY,Auto,bought,69.25,60
2,13-Aug-15,PRESTIGE,Realty,bought,209.2,25
2,07-Sep-15,RELCAPITAL,Financial services,bought,324,92
2,19-Oct-15,SUNPHARMA,Pharma,bought,890.55,48
