uid,date,symbol,category,trade_type,stock_value,volume
4,10-09-2011,DRREDDY,Pharma,bought,1470.25,26
4,07-10-2011,M&M,Auto,bought,803,200
4,02-07-2012,GLENMARK,Pharma,bought,365.2,54
4,30-07-2012,GLAXO,Pharma,bought,2134,73
4,03-08-2012,MARUTI,Auto,bought,1115,36
4,16-08-2012,SOBHA,Realty,bought,336.85,59
4,11-01-2013,TATAELXSI,IT,bought,232.25,100
4,29-04-2013,SOBHA,Realty,sold,196.1,52
4,01-08-2013,HDFCBANK,Financial services,bought,636.36,100
4,13-11-2013,MARUTI,Auto,sold,1585.25,32
4,12-12-2013,HCLTECH,IT,bought,1165,27
4,30-12-2013,MPHASIS,IT,bought,440.2,88
4,17-01-2014,HDFCBANK,Financial services,sold,666.78,79
4,22-01-2014,TATAMOTORS,Auto,bought,381.25,74
4,21-07-2014,M&M,Auto,sold,1195.56,67
4,21-08-2014,GODREJCP,FMCG,bought,955.4,39
4,13-11-2014,CIPLA,Pharma,bought,625.45,85
4,16-03-2015,TATAELXSI,IT,sold,1215,25
4,22-12-2015,M&M,Auto,sold,1266.76,60
4,23-02-2016,TATAELXSI,IT,sold,1901,50
