uid,date,symbol,category,trade_type,stock_value,volume
21,08-04-2011,PRESTIGE,Realty,bought,137.8,51
21,16-08-2011,TECHM,IT,bought,749.8,24
21,04-10-2011,M&M,Auto,bought,804.25,25
21,25-07-2012,ICICIBANK,Financial services,bought,915.9,100
21,27-09-2012,DLF,Realty,bought,234.75,82
21,01-11-2012,DLF,Realty,sold,202.1,43
21,28-12-2012,JUBLFOOD,FMCG,bought,1285.75,72
21,18-09-2013,CIPLA,Pharma,bought,433.5,64
21,21-01-2014,CIPLA,Pharma,sold,420.25,46
21,06-03-2014,GLAXO,Pharma,bought,2700,65
21,27-05-2014,APOLLOTYRE,Auto,bought,178,95
21,02-06-2014,APOLLOTYRE,Auto,bought,177,40
21,04-07-2014,GODREJCP,FMCG,bought,815,55
21,06-08-2014,DLF,Realty,bought,204.9,55
21,30-10-2014,EICHERMOT,Auto,bought,12638,47
21,19-11-2014,ICICIBANK,Financial services,sold,1683.55,46
21,26-11-2014,HCLTECH,IT,bought,1641.6,68
21,23-12-2014,TCS,IT,bought,2500,51
21,20-01-2015,JUBLFOOD,FMCG,bought,1409.95,26
21,05-10-2015,EXIDEIND,Auto,bought,152.85,21
