uid,date,symbol,category,trade_type,stock_value,volume
3,11-May-11,DLF,Realty,bought,225.2,48
3,1-Jul-11,DLF,Realty,sold,213.7,26
3,26-Sep-11,ITC,FMCG,bought,189.9,47
3,20-Jan-12,GLAXO,Pharma,bought,1973.5,25
3,9-Jun-12,KOTAKBANK,Financial services,bought,1357.35,91
3,16-Apr-13,EICHERMOT,Auto,bought,2733,88
3,26-Apr-13,EICHERMOT,Auto,bought,2893,70
3,20-Sep-13,KOTAKBANK,Financial services,bought,753.3,43
3,26-Dec-13,WIPRO,IT,bought,551.2,93
3,27-Dec-13,HDFCBANK,Financial services,bought,673.1,26
3,20-Jun-14,KOTAKBANK,Financial services,sold,935,99
3,14-Jul-14,TECHM,IT,bought,2023.2,35
3,23-Jan-15,APOLLOTYRE,Auto,bought,232.15,70
3,9-Feb-15,AXISBANK,Financial services,bought,568.6,50
3,18-Feb-15,EXIDEIND,Auto,bought,182.1,98
3,6-Apr-15,MINDTREE,IT,bought,1230,32
3,23-Sep-15,BOSCHLTD,Auto,bought,20355,75
3,17-Dec-15,MARUTI,Auto,bought,4650,31
3,29-Jan-16,EICHERMOT,Auto,sold,16300,22
3,8-Apr-16,KOTAKBANK,Financial services,sold,669.5,79
