uid,date,symbol,category,trade_type,stock_value,volume
14,30-03-2011,BAJAJ-AUTO,Auto,bought,1419.9,200
14,13-06-2011,SUNPHARMA,Pharma,bought,467.5,64
14,22-06-2011,TVSMOTOR,FMCG,bought,52.8,41
14,14-10-2011,PRESTIGE,Realty,bought,108.3,53
14,01-03-2012,BAJAJ-AUTO,Auto,sold,1803.45,43
14,31-05-2012,PHOENIXLTD,Realty,bought,185,23
14,07-06-2012,HCLTECH,IT,bought,505,67
14,27-09-2012,SOBHA,Realty,bought,358,59
14,11-02-2013,BAJAJ-AUTO,Auto,sold,2041.4,78
14,05-03-2013,ITC,FMCG,bought,293.7,75
14,12-06-2013,GLAXO,Pharma,bought,2391,87
14,13-08-2013,OBEROIRLTY,Realty,bought,176,91
14,14-10-2013,EXIDEIND,Auto,bought,136,64
14,15-10-2013,DABUR,FMCG,bought,169.8,56
14,25-11-2013,APOLLOTYRE,Auto,bought,77,74
14,16-01-2014,SUNPHARMA,Pharma,sold,604,24
14,06-02-2014,RELCAPITAL,Financial services,bought,317,97
14,01-07-2014,OBEROIRLTY,Realty,bought,260.05,22
14,19-06-2015,GODREJCP,FMCG,bought,1124.95,92
14,27-11-2015,HDFCBANK,Financial services,bought,1064.85,97
