uid,date,symbol,category,trade_type,stock_value,volume
15,18-01-2011,EICHERMOT,Auto,bought,1137,130
15,09-02-2011,EICHERMOT,Auto,sold,1053.4,56
15,23-03-2011,GODREJCP,FMCG,bought,362.25,52
15,01-11-2011,BOSCHLTD,Auto,bought,6919,75
15,11-11-2011,TECHM,IT,bought,604.8,56
15,24-01-2012,PRESTIGE,Realty,bought,79.3,34
15,16-03-2012,DRREDDY,Pharma,bought,1697,92
15,20-04-2012,WIPRO,IT,bought,420.9,90
15,30-07-2012,WIPRO,IT,sold,335.15,58
15,20-09-2012,ICICIBANK,Financial services,bought,1031,72
15,25-09-2012,EICHERMOT,Auto,sold,2298.85,51
15,01-10-2012,M&M,Auto,bought,864,36
15,22-10-2012,HDFCBANK,Financial services,bought,625.2,94
15,28-01-2013,HDFCBANK,Financial services,sold,665.25,35
15,12-11-2013,GLAXO,Pharma,bought,2435.05,66
15,10-06-2014,EICHERMOT,Auto,bought,7300,89
15,16-03-2015,TATAMOTORS,Auto,bought,559.05,54
15,02-06-2015,TECHM,IT,sold,551,21
15,10-06-2015,GODREJCP,FMCG,sold,1119.9,52
15,28-07-2015,PHOENIXLTD,Realty,bought,369.9,89
