uid,date,symbol,category,trade_type,stock_value,volume
41,21-01-2011,MARUTI,Auto,bought,1264,36
41,15-02-2011,TCS,IT,bought,1119,55
41,19-08-2011,KOTAKBANK,Financial services,bought,213.9,93
41,11-09-2012,DLF,Realty,bought,200.9,89
41,29-01-2013,EXIDEIND,Auto,bought,120.05,50
41,10-04-2013,EXIDEIND,Auto,sold,122,35
41,21-06-2013,KOTAKBANK,Financial services,sold,731,27
41,04-07-2013,MPHASIS,IT,bought,368,64
41,04-09-2013,APOLLOTYRE,Auto,bought,62.7,79
41,11-03-2014,DLF,Realty,sold,171.95,67
41,05-02-2015,GLENMARK,Pharma,bought,736,64
41,19-02-2015,ASHOKLEY,Auto,bought,69.85,56
41,07-04-2015,TATAELXSI,IT,bought,1302,52
41,02-06-2015,MARUTI,Auto,sold,3880,25
41,07-07-2015,TCS,IT,bought,2632.75,23
41,16-07-2015,DRREDDY,Pharma,bought,3810,90
41,18-08-2015,PRESTIGE,Realty,bought,221.75,58
41,27-10-2015,APOLLOTYRE,Auto,sold,189.4,46
41,30-11-2015,BOSCHLTD,Auto,bought,18898.8,65
41,24-12-2015,M&M,Auto,bought,1252.25,82
