uid,date,symbol,category,trade_type,stock_value,volume
31,12-07-2011,EICHERMOT,Auto,bought,1301,70
31,12-07-2011,PRESTIGE,Realty,bought,122,63
31,16-08-2011,MPHASIS,IT,bought,407.1,99
31,07-08-2012,SBIN,Financial services,bought,2021.2,70
31,04-10-2012,EICHERMOT,Auto,sold,2309.9,86
31,10-12-2012,RELCAPITAL,Financial services,bought,449.85,92
31,08-01-2013,RELCAPITAL,Financial services,sold,501.75,64
31,14-03-2013,JUBLFOOD,FMCG,bought,1186.9,90
31,07-06-2013,JUBLFOOD,FMCG,sold,1080,73
31,02-07-2013,SBIN,Financial services,sold,2011.15,50
31,19-09-2013,DABUR,FMCG,bought,170,26
31,11-12-2013,PRESTIGE,Realty,sold,156,40
31,06-01-2014,GODREJCP,FMCG,bought,830.9,45
31,15-01-2014,BOSCHLTD,Auto,bought,9712,86
31,14-05-2014,TATAELXSI,IT,bought,515,30
31,24-07-2014,AXISBANK,Financial services,bought,2000,97
31,05-05-2015,APOLLOTYRE,Auto,bought,177.95,75
31,12-06-2015,TECHM,IT,bought,552,75
31,10-09-2015,TECHM,IT,sold,532,60
31,29-12-2015,APOLLOTYRE,Auto,sold,156.1,55
