uid,date,symbol,category,trade_type,stock_value,volume
33,15-07-2011,BOSCHLTD,Auto,bought,7080.05,80
33,02-08-2011,BOSCHLTD,Auto,sold,7040,70
33,31-10-2011,DABUR,FMCG,bought,101,40
33,15-11-2011,TATAMOTORS,Auto,bought,173.75,86
33,17-04-2012,MARUTI,Auto,bought,1394.8,41
33,05-06-2012,EICHERMOT,Auto,bought,2174.95,44
33,04-06-2012,SUNPHARMA,Pharma,bought,568.7,35
33,29-04-2013,SOBHA,Realty,bought,401.95,78
33,18-06-2013,DABUR,FMCG,sold,155.25,25
33,17-07-2013,BAJAJ-AUTO,Auto,bought,1920,69
33,07-08-2013,TATAMOTORS,Auto,sold,284.1,30
33,02-09-2013,M&M,Auto,bought,776,74
33,19-02-2014,SUNPHARMA,Pharma,sold,611.7,20
33,28-03-2014,HCLTECH,IT,bought,1401,85
33,29-04-2014,TATAMOTORS,Auto,sold,416.05,30
33,28-10-2014,KOTAKBANK,Financial services,bought,1089,90
33,05-01-2015,HINDUNILVR,FMCG,bought,759.75,60
33,15-01-2015,KOTAKBANK,Financial services,sold,1438,72
33,08-04-2015,AXISBANK,Financial services,bought,561.8,94
33,19-10-2015,APOLLOTYRE,Auto,bought,192,23
