uid,date,symbol,category,trade_type,stock_value,volume
36,17-01-2011,JUBLFOOD,FMCG,bought,555,62
36,10-02-2011,KOTAKBANK,Financial services,bought,355.05,39
36,17-06-2011,HCLTECH,IT,bought,488.05,74
36,23-08-2011,GLENMARK,Pharma,bought,325.95,71
36,12-10-2011,BAJAJ-AUTO,Auto,bought,1585,25
36,21-10-2011,DABUR,FMCG,bought,98,70
36,03-04-2012,DABUR,FMCG,sold,107,30
36,24-04-2012,BAJAJ-AUTO,Auto,sold,1669,39
36,22-05-2012,HCLTECH,IT,sold,241.5,50
36,08-08-2012,TATAMOTORS,Auto,bought,240.15,94
36,28-01-2013,SOBHA,Realty,bought,421.05,30
36,03-04-2013,SBIN,Financial services,bought,2136.25,63
36,23-05-2013,GLENMARK,Pharma,sold,564,53
36,30-10-2013,SBIN,Financial services,sold,1748.05,35
36,27-12-2013,ASHOKLEY,Auto,bought,16.95,42
36,28-04-2014,MPHASIS,IT,bought,403.35,31
36,03-06-2014,CIPLA,Pharma,bought,386.05,58
36,12-09-2014,BOSCHLTD,Auto,bought,14812.2,27
36,17-09-2014,MPHASIS,IT,sold,436.8,20
36,28-08-2015,TATAELXSI,IT,bought,1885.5,79
