uid,date,symbol,category,trade_type,stock_value,volume
38,01-03-2011,APOLLOTYRE,Auto,bought,53,66
38,16-06-2011,SOBHA,Realty,bought,251,43
38,20-09-2011,APOLLOTYRE,Auto,sold,60.05,50
38,07-10-2011,M&M,Auto,bought,797.2,39
38,26-04-2012,ITC,FMCG,bought,246.4,82
38,30-05-2012,GLENMARK,Pharma,bought,351,54
38,16-10-2012,SOBHA,Realty,sold,366.15,30
38,29-01-2013,GLAXO,Pharma,bought,2054.9,93
38,12-02-2013,EICHERMOT,Auto,bought,2769,45
38,08-04-2013,DRREDDY,Pharma,bought,1901,86
38,02-07-2013,DRREDDY,Pharma,sold,2268,36
38,20-08-2013,MINDTREE,IT,bought,984,49
38,01-10-2013,BAJAJ-AUTO,Auto,bought,2000,34
38,22-11-2013,MINDTREE,IT,sold,353.75,40
38,24-07-2014,TECHM,IT,bought,2157,39
38,21-08-2014,GLENMARK,Pharma,sold,728.8,23
38,26-05-2015,MARUTI,Auto,bought,3696,87
38,18-08-2015,SBIN,Financial services,bought,280.8,35
38,30-09-2015,EICHERMOT,Auto,sold,17580.2,20
38,17-11-2015,TATAELXSI,IT,bought,1810,50
