uid,date,symbol,category,trade_type,stock_value,volume
9,06-05-2011,DABUR,FMCG,bought,100,42
9,17-08-2011,TATAELXSI,IT,bought,198.2,56
9,24-05-2012,SBIN,Financial services,bought,1958,57
9,25-05-2012,TCS,IT,bought,1212.1,95
9,05-07-2012,TCS,IT,sold,1247.85,64
9,02-04-2013,AXISBANK,Financial services,bought,1319.9,35
9,05-06-2013,HCLTECH,IT,bought,738.85,71
9,28-06-2013,SOBHA,Realty,bought,349,96
9,08-07-2013,DLF,Realty,bought,174,39
9,28-01-2014,RELCAPITAL,Financial services,bought,325.7,90
9,11-03-2014,GODREJCP,FMCG,bought,725.1,20
9,19-08-2014,M&M,Auto,bought,1325.95,49
9,21-11-2014,HINDUNILVR,FMCG,bought,759,28
9,20-01-2015,KOTAKBANK,Financial services,bought,1392,100
9,04-02-2015,KOTAKBANK,Financial services,sold,1308.95,54
9,27-07-2015,TECHM,IT,bought,511,70
9,13-10-2015,TCS,IT,bought,2602.8,73
9,08-12-2015,EICHERMOT,Auto,bought,16229,58
9,16-12-2015,DABUR,FMCG,sold,273.35,34
9,30-12-2015,HDFCBANK,Financial services,bought,1080,30
