uid,date,symbol,category,trade_type,stock_value,volume
11,23-02-2011,WIPRO,IT,bought,445.3,94
11,17-03-2011,JUBLFOOD,FMCG,bought,559,50
11,20-06-2011,ICICIBANK,Financial services,bought,1030.9,89
11,09-08-2011,MINDTREE,IT,bought,418,58
11,08-12-2011,PHOENIXLTD,Realty,bought,189.5,25
11,06-01-2012,GLENMARK,Pharma,bought,286.9,33
11,21-02-2012,WIPRO,IT,sold,455,66
11,28-05-2012,APOLLOTYRE,Auto,bought,87,35
11,29-04-2013,SBIN,Financial services,bought,2302,23
11,11-06-2013,TECHM,IT,bought,939,30
11,18-06-2013,HDFCBANK,Financial services,bought,668,83
11,30-07-2013,JUBLFOOD,FMCG,sold,560,32
11,20-09-2013,GODREJCP,FMCG,bought,828.7,43
11,25-02-2014,HDFCBANK,Financial services,bought,674,29
11,23-06-2014,GODREJCP,FMCG,sold,809.7,27
11,31-07-2014,GLAXO,Pharma,bought,2493,74
11,11-11-2014,M&M,Auto,bought,1235.1,31
11,19-05-2015,HINDUNILVR,FMCG,bought,852.4,39
11,14-07-2015,TECHM,IT,sold,478.95,25
11,19-10-2015,TCS,IT,bought,2490,97
