uid,date,symbol,category,trade_type,stock_value,volume
34,01-11-2011,BAJAJ-AUTO,Auto,bought,1728.4,91
34,20-12-2011,TECHM,IT,bought,580,22
34,05-03-2012,GODREJCP,FMCG,bought,451.05,91
34,03-05-2012,HINDUNILVR,FMCG,bought,422.5,99
34,29-04-2013,BAJAJ-AUTO,Auto,sold,1889.3,25
34,08-05-2013,PHOENIXLTD,Realty,bought,269.55,50
34,16-05-2013,SOBHA,Realty,bought,414,40
34,18-10-2013,ITC,FMCG,bought,347.7,78
34,31-12-2013,KOTAKBANK,Financial services,bought,734.95,44
34,13-05-2014,KOTAKBANK,Financial services,sold,425,41
34,10-09-2014,MPHASIS,IT,bought,445.75,40
34,20-10-2014,HINDUNILVR,FMCG,sold,732,64
34,28-10-2014,GODREJCP,FMCG,sold,911,82
34,16-04-2015,DRREDDY,Pharma,bought,3730,95
34,05-06-2015,M&M,Auto,bought,1196.25,42
34,03-07-2015,ITC,FMCG,sold,314.3,56
34,24-08-2015,DRREDDY,Pharma,sold,4150,80
34,01-09-2015,EXIDEIND,Auto,bought,151.6,28
34,24-09-2015,DABUR,FMCG,bought,276.5,72
34,11-11-2015,TCS,IT,bought,2475,91
